CPU Utilization: 3%
Cores used: 1
Cores available: 31
+============================================================+
Running processes:
Process_1314    (06/28/2025 11:09:51AM)    Core: 20    38/100

Finished processes:
Process_1133    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1134    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1135    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1136    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1137    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1138    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1139    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1140    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1141    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1142    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1143    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1144    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1145    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1146    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1147    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1148    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1149    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1150    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1151    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1152    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1153    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1154    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1156    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1155    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1157    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1158    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1159    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1160    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1161    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1162    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1166    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1168    (06/28/2025 11:09:43AM)    Finished    100/100
